# related_to 갈라 내기 — 직접 판정 (2026-09-05, Claude). 근거 문장만 보고 골랐다.
# src	dst	type	direction	confidence	메모 (A ~ B · 근거 앞머리)
wd:Q16171544	wd:Q12599058	member_of	A→B	certain	서일 ~ 북로군정서 · 또한, 서일의 지도 아래 북로군정서가 설립되었고, 김좌진은 사관학교에서 400명 이상의 독립 투사들을 지휘했
wd:Q16171569	wd:Q11265994	none	A→B	certain	서재필 ~ 이상재
wd:Q16172022	wd:Q12589996	member_of	A→B	certain	민암 ~ 남인 · 이 과정 중, 피의자들이 효종의 딸이자 숙종에겐 고모가 되는 숙안공주·숙명공주·숙휘공주가 노론의 대표인 김춘
wd:Q16173005	wd:Q334308	none	A→B	certain	윤필상 ~ 조선 세조
wd:Q16173431	ex:place:봉오동	none	A→B	certain	최진동 ~ 봉오동
wd:Q16173431	wd:Q12600153	participated_in	A→B	probable	최진동 ~ 삼둔자 전투 · 1920년 6월 4일 독립군 홍범도 부대와 최진동 부대의 예하 1개 소대가 각각 동간도 화룡현(和龍縣) 삼둔
wd:Q16176447	wd:Q11287782	none	A→B	certain	정약전 ~ 황사영
wd:Q17	wd:Q12586747	none	A→B	certain	일본 ~ 기유각서
wd:Q17	wd:Q884	none	A→B	certain	일본 ~ 대한민국
wd:Q171684	wd:Q11265994	taught	B→A	probable	이승만 ~ 이상재 · 그는 후일 대한민국의 대통령을 역임한 이승만의 정치적 스승 중의 한사람이었다.
wd:Q171684	wd:Q233254	none	A→B	certain	이승만 ~ 을사조약
wd:Q179935	ex:person:정철상	none	A→B	certain	정하상 ~ 정철상
wd:Q179935	wd:Q12611195	none	A→B	certain	정하상 ~ 이덕일
wd:Q179935	wd:Q12619660	none	A→B	certain	정하상 ~ 최양업
wd:Q179935	wd:Q16172279	none	A→B	certain	정하상 ~ 최방제
wd:Q179935	wd:Q3158519	none	A→B	certain	정하상 ~ 자크 오노레 샤스탕
wd:Q179935	wd:Q343569	none	A→B	certain	정하상 ~ 김대건
wd:Q179935	wd:Q43727	none	A→B	certain	정하상 ~ 교황 레오 12세
wd:Q179935	wd:Q43734	none	A→B	certain	정하상 ~ 교황 그레고리오 16세
wd:Q179935	wd:Q4533464	none	A→B	certain	정하상 ~ 유진길 아우구스티노
wd:Q179935	wd:Q844097	none	A→B	certain	정하상 ~ 피에르 모방
wd:Q179935	wd:Q9253103	none	A→B	certain	정하상 ~ 정정혜
wd:Q179935	wd:Q989	none	A→B	certain	정하상 ~ 교황 요한 바오로 2세
wd:Q188712	wd:Q28233	none	A→B	certain	일본 제국 ~ 대한제국
wd:Q188712	wd:Q707951	participated_in	A→B	certain	일본 제국 ~ 제1차 한일 협약 · 1904년 8월 22일, 대한제국과 일본 제국은 제1차 한일 협약을 체결했다.
wd:Q192049	wd:Q14362	none	A→B	certain	윤보선 ~ 전두환
wd:Q192049	wd:Q242651	none	A→B	certain	윤보선 ~ 노태우
wd:Q192111	wd:Q11265994	none	A→B	certain	윤치호 ~ 이상재
wd:Q192111	wd:Q707951	participated_in	A→B	certain	윤치호 ~ 제1차 한일 협약 · 이해 8월 10일 러일전쟁이 종식된 후 8월 22일에는 외부대신 서리였던 윤치호와 당시 주한 일본공사로 있던
wd:Q19349276	wd:Q6811500	none	A→B	certain	김준 ~ 최의
wd:Q22974749	wd:Q8017829	none	A→B	certain	이준경 ~ 서인
wd:Q256246	wd:Q107109674	none	A→B	certain	정약용 ~ 정문섭
wd:Q256246	wd:Q11270126	none	A→B	certain	정약용 ~ 정약종
wd:Q256246	wd:Q11287782	none	A→B	certain	정약용 ~ 황사영
wd:Q256246	wd:Q12610453	none	A→B	certain	정약용 ~ 윤지충
wd:Q256246	wd:Q12610818	none	A→B	certain	정약용 ~ 이가환
wd:Q256246	wd:Q12611195	none	A→B	certain	정약용 ~ 이덕일
wd:Q256246	wd:Q16176447	none	A→B	certain	정약용 ~ 정약전
wd:Q256246	wd:Q16262558	none	A→B	certain	정약용 ~ 유수원
wd:Q256246	wd:Q26530	none	A→B	certain	정약용 ~ 조선 정조
wd:Q256246	wd:Q379653	none	A→B	certain	정약용 ~ 이이
wd:Q256246	wd:Q485025	none	A→B	certain	정약용 ~ 이승훈
wd:Q256246	wd:Q486492	none	A→B	certain	정약용 ~ 유형원
wd:Q256246	wd:Q495259	none	A→B	certain	정약용 ~ 이익
wd:Q27953950	wd:Q12589996	none	A→B	certain	목창명 ~ 남인
wd:Q28233	wd:Q188712	none	A→B	certain	대한제국 ~ 일본 제국
wd:Q315559	wd:Q334111	none	A→B	certain	데라우치 마사타케 ~ 대한제국 순종
wd:Q3270739	ex:place:정주	none	A→B	certain	박천 전투 ~ 정주
wd:Q3270739	wd:Q423	none	A→B	certain	박천 전투 ~ 조선민주주의인민공화국
wd:Q3270739	wd:Q499266	occurred_at	A→B	probable	박천 전투 ~ 청천강 · 중국인민지원군의 진격을 저지하기 위해, 제27영연방여단은 우측 상류에 있는 미 제24보병사단과 협력하여 후방
wd:Q3277310	wd:Q12591942	member_of	A→B	certain	홍범도 ~ 대한독립군 · 예를 들어, 이전 의병 지도자였던 홍범도는 대한독립군을 창설하고 옌지시에서 소위 독립 투사들을 훈련시켰다.
wd:Q3277310	wd:Q12600153	none	A→B	certain	홍범도 ~ 삼둔자 전투
wd:Q33391	wd:Q855	none	A→B	certain	레프 트로츠키 ~ 이오시프 스탈린
wd:Q334111	wd:Q705888	none	A→B	certain	대한제국 순종 ~ 헤이그 특사 사건
wd:Q334308	ex:person:영풍군	none	A→B	certain	조선 세조 ~ 영풍군
wd:Q334308	wd:Q12586496	none	A→B	certain	조선 세조 ~ 금성대군
wd:Q334308	wd:Q16171523	none	A→B	certain	조선 세조 ~ 한남군
wd:Q334308	wd:Q16174423	none	A→B	certain	조선 세조 ~ 김문기
wd:Q334308	wd:Q16726364	none	A→B	certain	조선 세조 ~ 김숙자
wd:Q334308	wd:Q470122	none	A→B	certain	조선 세조 ~ 신숙주
wd:Q334308	wd:Q483026	none	A→B	certain	조선 세조 ~ 권람
wd:Q334308	wd:Q483821	none	A→B	certain	조선 세조 ~ 조선 문종
wd:Q334308	wd:Q485023	none	A→B	certain	조선 세조 ~ 조선 단종
wd:Q334308	wd:Q486278	none	A→B	certain	조선 세조 ~ 김종직
wd:Q334308	wd:Q486298	none	A→B	certain	조선 세조 ~ 한명회
wd:Q334308	wd:Q488374	none	A→B	certain	조선 세조 ~ 성삼문
wd:Q334308	wd:Q494175	none	A→B	certain	조선 세조 ~ 정인지
wd:Q334308	wd:Q5636450	none	A→B	certain	조선 세조 ~ 하위지
wd:Q334308	wd:Q624197	none	A→B	certain	조선 세조 ~ 안평대군
wd:Q334308	wd:Q626748	none	A→B	certain	조선 세조 ~ 정창손
wd:Q334308	wd:Q6408890	none	A→B	certain	조선 세조 ~ 김질
wd:Q334308	wd:Q6799467	none	A→B	certain	조선 세조 ~ 혜빈 양씨
wd:Q334308	wd:Q7125373	none	A→B	certain	조선 세조 ~ 박팽년
wd:Q334308	wd:Q7451580	none	A→B	certain	조선 세조 ~ 성승
wd:Q334308	wd:Q8053448	none	A→B	certain	조선 세조 ~ 이개
wd:Q334308	wd:Q8059913	none	A→B	certain	조선 세조 ~ 유응부
wd:Q334308	wd:Q8059964	none	A→B	certain	조선 세조 ~ 유성원
wd:Q3565175	wd:Q388037	participated_in	A→B	probable	이위종 ~ 만국평화회의 · 이준은 고종의 신임장을 들고 만주의 이상설, 러시아의 이위종과 차례로 합류하여 헤이그로 향했다.
wd:Q36014	wd:Q172640	none	A→B	certain	호찌민 ~ 베트남 민주공화국
wd:Q36014	wd:Q881	none	A→B	certain	호찌민 ~ 베트남
wd:Q379649	wd:Q12587864	none	A→B	certain	윤선도 ~ 김수항
wd:Q379649	wd:Q12589331	none	A→B	certain	윤선도 ~ 김홍욱
wd:Q379649	wd:Q12596347	none	A→B	certain	윤선도 ~ 민회빈 강씨
wd:Q379649	wd:Q12597009	none	A→B	certain	윤선도 ~ 박인로
wd:Q379649	wd:Q12602921	none	A→B	certain	윤선도 ~ 송순
wd:Q379649	wd:Q12610402	child_of	B→A	certain	윤선도 ~ 윤인미 · 그의 장남 윤인미(尹仁美)는 또한 학식이 많기로 알려져 명성이 있었다.
wd:Q379649	wd:Q16167918	none	A→B	certain	윤선도 ~ 권시
wd:Q379649	wd:Q256246	none	A→B	certain	윤선도 ~ 정약용
wd:Q379649	wd:Q379647	none	A→B	certain	윤선도 ~ 송시열
wd:Q379649	wd:Q483181	none	A→B	certain	윤선도 ~ 소현세자
wd:Q379649	wd:Q483603	none	A→B	certain	윤선도 ~ 장렬왕후
wd:Q379649	wd:Q484253	none	A→B	certain	윤선도 ~ 조선 현종
wd:Q379649	wd:Q484446	none	A→B	certain	윤선도 ~ 조선 효종
wd:Q379649	wd:Q484453	none	A→B	certain	윤선도 ~ 조선 인조
wd:Q379649	wd:Q484978	none	A→B	certain	윤선도 ~ 정철
wd:Q379649	wd:Q497092	none	A→B	certain	윤선도 ~ 송준길
wd:Q379649	wd:Q8061186	none	A→B	certain	윤선도 ~ 윤두서
wd:Q379655	wd:Q109547418	none	A→B	certain	허목 ~ 기곡제
wd:Q379659	wd:Q12604652	none	A→B	certain	원균 ~ 신충식
wd:Q379659	wd:Q12609316	none	A→B	certain	원균 ~ 원연
wd:Q379659	wd:Q12609323	none	A→B	certain	원균 ~ 원유철
wd:Q379659	wd:Q12611200	none	A→B	certain	원균 ~ 이덕형
wd:Q379659	wd:Q12612110	none	A→B	certain	원균 ~ 이예춘
wd:Q379659	wd:Q12612410	none	A→B	certain	원균 ~ 이일
wd:Q379659	wd:Q12612415	none	A→B	certain	원균 ~ 이일재
wd:Q379659	wd:Q12612468	none	A→B	certain	원균 ~ 이재범
wd:Q379659	wd:Q16180502	none	A→B	certain	원균 ~ 고설봉
wd:Q379659	wd:Q17159017	none	A→B	certain	원균 ~ 최성호
wd:Q379659	wd:Q2372706	none	A→B	certain	원균 ~ 한상민
wd:Q379659	wd:Q484359	none	A→B	certain	원균 ~ 조선 선조
wd:Q379659	wd:Q497310	none	A→B	certain	원균 ~ 이원희
wd:Q379659	wd:Q50184	none	A→B	certain	원균 ~ 이순신
wd:Q379659	wd:Q624683	none	A→B	certain	원균 ~ 손현주
wd:Q379659	wd:Q625555	none	A→B	certain	원균 ~ 최재성
wd:Q379659	wd:Q6408827	none	A→B	certain	원균 ~ 김인호
wd:Q388037	time:2000	none	A→B	certain	만국평화회의 ~ 2000년
wd:Q433065	ex:person:이동기	none	A→B	certain	논개 ~ 이동기
wd:Q433065	ex:place:의기사	none	A→B	certain	논개 ~ 의기사
wd:Q433065	wd:Q11243413	none	A→B	certain	논개 ~ 박종화
wd:Q433065	wd:Q11269988	none	A→B	certain	논개 ~ 정문부
wd:Q433065	wd:Q12588355	none	A→B	certain	논개 ~ 김은호
wd:Q433065	wd:Q12588965	none	A→B	certain	논개 ~ 김천일
wd:Q433065	wd:Q12610352	none	A→B	certain	논개 ~ 윤여환
wd:Q433065	wd:Q16080783	none	A→B	certain	논개 ~ 김흥국
wd:Q433065	wd:Q3148846	none	A→B	certain	논개 ~ 임동권
wd:Q433065	wd:Q487161	none	A→B	certain	논개 ~ 한용운
wd:Q433065	wd:Q625788	none	A→B	certain	논개 ~ 모윤숙
wd:Q4537533	wd:Q334111	none	A→B	certain	야마가타 이사부로 ~ 대한제국 순종
wd:Q45785	wd:Q624238	none	A→B	certain	김대중 ~ 6.29 선언
wd:Q464485	ex:person:신명인	none	A→B	certain	신사임당 ~ 신명인
wd:Q464485	ex:person:어숙권	none	A→B	certain	신사임당 ~ 어숙권
wd:Q464485	wd:Q1036353	none	A→B	certain	신사임당 ~ 안견
wd:Q464485	wd:Q10940999	none	A→B	certain	신사임당 ~ 태임
wd:Q464485	wd:Q12604086	none	A→B	certain	신사임당 ~ 신경진
wd:Q464485	wd:Q12613161	none	A→B	certain	신사임당 ~ 이형규
wd:Q464485	wd:Q16262078	none	A→B	certain	신사임당 ~ 이행
wd:Q464485	wd:Q379647	none	A→B	certain	신사임당 ~ 송시열
wd:Q464485	wd:Q464510	none	A→B	certain	신사임당 ~ 황진이
wd:Q464485	wd:Q483227	none	A→B	certain	신사임당 ~ 신립
wd:Q464485	wd:Q485595	none	A→B	certain	신사임당 ~ 이명진
wd:Q464485	wd:Q486266	none	A→B	certain	신사임당 ~ 윤원형
wd:Q464485	wd:Q486283	none	A→B	certain	신사임당 ~ 조광조
wd:Q464485	wd:Q486286	none	A→B	certain	신사임당 ~ 문정왕후
wd:Q464485	wd:Q486388	none	A→B	certain	신사임당 ~ 기묘사화
wd:Q464485	wd:Q486563	none	A→B	certain	신사임당 ~ 이기
wd:Q464485	wd:Q491778	none	A→B	certain	신사임당 ~ 정난정
wd:Q464485	wd:Q496594	none	A→B	certain	신사임당 ~ 신익희
wd:Q464485	wd:Q5103807	none	A→B	certain	신사임당 ~ 최만리
wd:Q464485	wd:Q625567	none	A→B	certain	신사임당 ~ 신숭겸
wd:Q464485	wd:Q6514999	none	A→B	certain	신사임당 ~ 이승일
wd:Q464485	wd:Q702588	none	A→B	certain	신사임당 ~ 장녹수
wd:Q464485	wd:Q706103	none	A→B	certain	신사임당 ~ 을사사화
wd:Q464485	wd:Q8053465	child_of	B→A	certain	신사임당 ~ 이매창 · 어머니를 닮아 서화에 뛰어난 솜씨를 보이며 이름을 날린 막내아들 이우와 큰딸 이매창이 그들이다.
wd:Q464510	ex:artwork:가곡원류	none	A→B	certain	황진이 ~ 가곡원류
wd:Q464510	ex:artwork:금계필담	none	A→B	certain	황진이 ~ 금계필담
wd:Q464510	ex:artwork:대동풍아	none	A→B	certain	황진이 ~ 대동풍아
wd:Q464510	ex:artwork:어우야담	none	A→B	certain	황진이 ~ 어우야담
wd:Q464510	ex:artwork:해동가요	none	A→B	certain	황진이 ~ 해동가요
wd:Q464510	khs:12-11-0021650000000	none	A→B	certain	황진이 ~ 청구영언
wd:Q464510	wd:Q117196164	none	A→B	certain	황진이 ~ 황진
wd:Q464510	wd:Q17095009	none	A→B	certain	황진이 ~ 이종숙
wd:Q464510	wd:Q31178565	none	A→B	certain	황진이 ~ 벽계수
wd:Q464510	wd:Q61095263	none	A→B	certain	황진이 ~ 소세양
wd:Q464510	wd:Q6783907	none	A→B	certain	황진이 ~ 박연폭포
wd:Q464510	wd:Q7451459	none	A→B	certain	황진이 ~ 서경덕
wd:Q469396	ex:place:도성축조도감	none	A→B	certain	정도전 ~ 도성축조도감
wd:Q469396	wd:Q14304	none	A→B	certain	정도전 ~ 태종
wd:Q469396	wd:Q16173161	none	A→B	certain	정도전 ~ 설장수
wd:Q469396	wd:Q326917	none	A→B	certain	정도전 ~ 랴오둥반도
wd:Q469396	wd:Q378483	none	A→B	certain	정도전 ~ 조선 태조
wd:Q469396	wd:Q482485	none	A→B	certain	정도전 ~ 경복궁
wd:Q469396	wd:Q624467	none	A→B	certain	정도전 ~ 한성부
wd:Q469415	wd:Q186500	none	A→B	certain	허정 ~ 장면
wd:Q469415	wd:Q192049	none	A→B	certain	허정 ~ 윤보선
wd:Q469450	wd:Q12608920	none	A→B	certain	허균 ~ 우성전
wd:Q469450	wd:Q12611171	taught	B→A	certain	허균 ~ 이달 · 손곡 이달과 서애 류성룡 문인이다.
wd:Q469450	wd:Q16176142	none	A→B	certain	허균 ~ 허성
wd:Q470047	wd:Q171684	none	A→B	certain	윤치영 ~ 이승만
wd:Q482645	wd:Q41117	none	A→B	certain	김일 ~ 김일성
wd:Q482748	ex:person:한세진	none	A→B	certain	김정호 ~ 한세진
wd:Q482748	ex:place:소행성	none	A→B	certain	김정호 ~ 소행성
wd:Q482748	wd:Q12619924	none	A→B	certain	김정호 ~ 최한기
wd:Q482748	wd:Q16099294	none	A→B	certain	김정호 ~ 고산자로
wd:Q482748	wd:Q469432	none	A→B	certain	김정호 ~ 흥선대원군
wd:Q482850	wd:Q11175295	none	A→B	certain	조선 철종 ~ 인평대군
wd:Q482850	wd:Q257425	none	A→B	certain	조선 철종 ~ 대한제국 고종
wd:Q482850	wd:Q26530	none	A→B	certain	조선 철종 ~ 조선 정조
wd:Q482850	wd:Q334111	none	A→B	certain	조선 철종 ~ 대한제국 순종
wd:Q482850	wd:Q378483	none	A→B	certain	조선 철종 ~ 조선 태조
wd:Q482850	wd:Q459964	none	A→B	certain	조선 철종 ~ 조선 순조
wd:Q482850	wd:Q469432	none	A→B	certain	조선 철종 ~ 흥선대원군
wd:Q482850	wd:Q484446	none	A→B	certain	조선 철종 ~ 조선 효종
wd:Q482850	wd:Q484966	none	A→B	certain	조선 철종 ~ 조선 헌종
wd:Q482850	wd:Q489514	none	A→B	certain	조선 철종 ~ 조선 문조
wd:Q482850	wd:Q492998	none	A→B	certain	조선 철종 ~ 조선 장조
wd:Q482850	wd:Q625890	none	A→B	certain	조선 철종 ~ 조선 진종
wd:Q482850	wd:Q6454483	none	A→B	certain	조선 철종 ~ 은신군
wd:Q482850	wd:Q6780884	none	A→B	certain	조선 철종 ~ 남연군
wd:Q482850	wd:Q884	none	A→B	certain	조선 철종 ~ 대한민국
wd:Q482922	nikh:kc_o403300	member_of	A→B	certain	주시경 ~ 조선어학회 · 1908년 8월 31일 주시경 선생을 주축으로 하여 ‘국어연구학회’가 창립된 이래, ‘배달말글몯음’(1911
wd:Q484002	wd:Q233254	none	A→B	certain	이준 ~ 을사조약
wd:Q484002	wd:Q388037	none	A→B	certain	이준 ~ 만국평화회의
wd:Q484006	wd:Q16167043	none	A→B	certain	조선 성종 ~ 월산대군
wd:Q484006	wd:Q6648114	none	A→B	certain	조선 성종 ~ 제안대군
wd:Q484267	wd:Q257425	none	A→B	certain	헌경왕후 ~ 대한제국 고종
wd:Q484267	wd:Q42160	none	A→B	certain	헌경왕후 ~ 화성시
wd:Q484267	wd:Q459964	none	A→B	certain	헌경왕후 ~ 조선 순조
wd:Q484267	wd:Q626306	none	A→B	certain	헌경왕후 ~ 융건릉
wd:Q484359	wd:Q379653	none	A→B	certain	조선 선조 ~ 이이
wd:Q484359	wd:Q486266	none	A→B	certain	조선 선조 ~ 윤원형
wd:Q484359	wd:Q486283	none	A→B	certain	조선 선조 ~ 조광조
wd:Q484359	wd:Q488694	none	A→B	certain	조선 선조 ~ 조선 예종
wd:Q484359	wd:Q498626	none	A→B	certain	조선 선조 ~ 남곤
wd:Q484453	ex:person:김양언	none	A→B	certain	조선 인조 ~ 김양언
wd:Q484453	ex:person:송덕영	none	A→B	certain	조선 인조 ~ 송덕영
wd:Q484453	ex:person:양진국	none	A→B	certain	조선 인조 ~ 양진국
wd:Q484453	ex:person:장돈	none	A→B	certain	조선 인조 ~ 장돈
wd:Q484453	ex:person:함응수	none	A→B	certain	조선 인조 ~ 함응수
wd:Q484453	wd:Q12587609	none	A→B	certain	조선 인조 ~ 김상헌
wd:Q484453	wd:Q12589998	none	A→B	certain	조선 인조 ~ 남이흥
wd:Q484453	wd:Q12612546	none	A→B	certain	조선 인조 ~ 이정구
wd:Q484453	wd:Q12625472	none	A→B	certain	조선 인조 ~ 홍익한
wd:Q484453	wd:Q16172048	none	A→B	certain	조선 인조 ~ 민영
wd:Q484453	wd:Q16172802	none	A→B	certain	조선 인조 ~ 윤집
wd:Q484453	wd:Q16175397	none	A→B	certain	조선 인조 ~ 이귀
wd:Q484453	wd:Q16176181	none	A→B	certain	조선 인조 ~ 허완
wd:Q484453	wd:Q16176335	none	A→B	certain	조선 인조 ~ 김언수
wd:Q484453	wd:Q16176503	none	A→B	certain	조선 인조 ~ 정온
wd:Q484453	wd:Q18815353	none	A→B	certain	조선 인조 ~ 권정길
wd:Q484453	wd:Q19349276	none	A→B	certain	조선 인조 ~ 김준
wd:Q484453	wd:Q296367	none	A→B	certain	조선 인조 ~ 숭덕제
wd:Q484453	wd:Q379647	none	A→B	certain	조선 인조 ~ 송시열
wd:Q484453	wd:Q379653	none	A→B	certain	조선 인조 ~ 이이
wd:Q484453	wd:Q379655	none	A→B	certain	조선 인조 ~ 허목
wd:Q484453	wd:Q496891	none	A→B	certain	조선 인조 ~ 성혼
wd:Q484453	wd:Q497077	none	A→B	certain	조선 인조 ~ 김집
wd:Q484453	wd:Q497127	none	A→B	certain	조선 인조 ~ 김장생
wd:Q484453	wd:Q5363423	none	A→B	certain	조선 인조 ~ 모문룡
wd:Q484453	wd:Q623637	none	A→B	certain	조선 인조 ~ 최명길
wd:Q484608	wd:Q14304	none	A→B	certain	이종무 ~ 태종
wd:Q484608	wd:Q37682	none	A→B	certain	이종무 ~ 조선 세종
wd:Q484608	wd:Q488700	none	A→B	certain	이종무 ~ 회안대군
wd:Q484608	wd:Q626092	none	A→B	certain	이종무 ~ 김훈
wd:Q484608	wd:Q6514229	none	A→B	certain	이종무 ~ 이적
