# 산문 추출이 혼인이라 읽은 것을 사람이 가른다 (2026-09-16, Claude 가 근거 문장을 읽고 적었다).
# 묻는 것은 추출이 낸 `spouse_of` 뿐이다 — 위키데이터·인포박스의 배우자 칸은 혼인이라 적힌 자리다.
# 인물 id	인물 id	판정(부부·관련·삭제)	근거
#
# --- 부부 ----------------------------------------------------------------
wd:Q497101	ex:person:황주변씨	부부	본부인으로 의병장 변이중의 딸이다
wd:Q12589992	ex:person:이암의 외손녀	부부	행촌 이암의 외손녀사위다
ex:person:목천 장씨	wd:Q11265994	부부	1864년 조혼 풍습에 따라 세 살 연상과 혼인하였다
wd:Q487569	ex:person:군부인 파평 윤씨	부부	복성군의 정부인이다
wd:Q7738364	ex:person:평산군부인 신씨	부부	상계군의 부인이다
wd:Q488374	ex:person:연안 김씨	부부	차산의 본관이 연안 김씨로 성삼문의 아내다
wd:Q488374	ex:person:차산	부부	아내 차산이다
wd:Q497092	ex:person:김씨	부부	첫 부인으로 사별하였다
wd:Q497092	ex:person:진주정씨	부부	정경세의 딸과 재혼하여 2남 3녀를 두었다
wd:Q492616	ex:person:황씨	부부	순화군의 부인 황씨다
ex:person:신씨	wd:Q470084	부부	연산군의 왕비 신씨다
wd:Q624197	ex:person:정씨	부부	부인 정씨로 사이가 좋지 않아 장례에 불참했다
wd:Q6781634	ex:person:김씨	부부	1707년 2월 김동필의 딸과 가례를 올렸다
wd:Q7073355	ex:person:경주 이씨	부부	부인 경주 이씨와 합장하였다
wd:Q486266	ex:person:김씨	부부	조강지처 김씨다
wd:Q338403	ex:person:여주이씨	부부	이보의 딸로 윤임의 처다 (여흥이씨와 같은 사람인데 노드가 둘이다)
wd:Q338403	ex:person:여흥이씨	부부	본처로 고양 향동동 언덕에 합장되었다
wd:Q497153	ex:person:함안이씨	부부	1510년 이세응의 둘째 딸과 결혼하여 4남 3녀를 두었다
wd:Q496216	ex:person:권덕영	부부	별제 권덕영에게 출가하였다
wd:Q486910	ex:person:청주한씨	부부	처 청주한씨가 1597년 비변사에 구휼을 청하였다
wd:Q11265994	ex:person:목천 장씨	부부	1864년 조혼 풍습에 따라 세 살 연상과 혼인하였다
wd:Q486549	ex:person:청송 심씨	부부	1650년 심광위의 딸과 혼인하였다
wd:Q16233955	ex:person:일본 여인	부부	일본에 끌려간 뒤 일본 여인과 혼인하여 자손을 두었다
wd:Q486311	ex:person:김씨	부부	이수형의 부인 김씨로 김만균의 누이다
wd:Q494787	ex:person:경주 김씨	부부	1894년 김홍집의 딸과 결혼하였다
wd:Q494787	ex:person:반남 박씨	부부	사별한 뒤 열다섯 살 연하와 재혼하였다
wd:Q495458	ex:person:양주 조씨	부부	1870년 3월 조병익의 딸과 혼인하였다
wd:Q624976	ex:person:상산군부인(象山郡夫人) 곡산 강씨	부부	이지란의 두 부인 중 하나다
wd:Q624976	ex:person:함안군부인(咸安郡夫人) 혜안택주(惠安宅主) 윤씨	부부	이지란의 두 부인 중 하나다
wd:Q486291	ex:person:김해 허씨	부부	일찍 혼인하였으나 27세에 상처하였다
wd:Q486291	ex:person:안동 권씨	부부	재혼한 부인으로 46세에 사망하였다
wd:Q486973	ex:person:풍천임씨	부부	정발의 부인 풍천임씨다
wd:Q256246	ex:person:풍산 홍씨	부부	1776년 4월 홍화보의 딸과 혼인하였다
wd:Q494175	ex:person:경주 이씨	부부	조후의 딸과 사별한 뒤 이성중의 손녀와 재혼하였다
wd:Q6648114	ex:person:상산부부인 김씨	부부	1476년 김수말의 딸을 아내로 맞았으나 성종이 폐하여 이혼시켰다
wd:Q470084	ex:person:신씨	부부	연산군의 왕비 신씨다
ex:person:채씨	ex:person:김감	부부	채씨는 김감의 아내다
wd:Q5103807	ex:person:중화 양씨	부부	양미의 딸과 결혼하여 아들 다섯을 두었다
wd:Q489310	ex:person:밀양 박씨	부부	1837년 열세 살에 울산 밀양박씨와 결혼하였다
wd:Q487161	ex:person:유숙원	부부	1931년 쉰셋에 열세 살 연하와 재혼하였다
wd:Q487161	ex:person:전정숙	부부	1898년 2월 전정숙과 결혼하였다
wd:Q469450	ex:person:안동 김씨	부부	1585년 김대섭의 차녀와 혼인하였다
ex:person:홍용한	ex:person:홍봉한의 처조카	부부	홍용한의 처로 홍봉한의 처조카다
wd:Q488700	ex:person:박도간의 서녀	부부	박도간의 서녀를 첩으로 삼았다
#
# --- 관련: 어머니·계모·딸·오라비·사위·서자 등 혼인이 아닌 친족 ------------
wd:Q487191	ex:person:안동 김씨	관련	의성현 사촌리는 어머니 안동 김씨의 친정으로 류성룡이 거기서 태어났다
wd:Q8512758	ex:person:의혜왕후 영흥 최씨	관련	의혜왕후는 아버지 이자춘의 계실이라 완풍대군의 계모다
wd:Q8512758	ex:person:한산 이씨	관련	한산 이씨는 이자춘의 정실로 완풍대군의 어머니다
wd:Q16261930	ex:person:양윤	관련	양윤은 이세좌의 사위다
wd:Q16261930	ex:person:이연명	관련	이연명은 이세좌의 서자다
wd:Q16261930	ex:person:조영손	관련	조영손은 이세좌의 사위다
wd:Q11266132	ex:person:영양남씨	관련	영양남씨는 이숙번의 어머니로 남휘주의 딸이다
ex:person:장희재	wd:Q485057	관련	장희재는 희빈 장씨의 오라비다
ex:person:정광조	wd:Q12615920	관련	정광조는 정의공주의 사위이자 세종의 외손녀사위다
wd:Q491778	ex:person:연안 김씨	관련	윤원형의 본부인으로 정난정이 독살했다는 의혹을 받았다
wd:Q486283	ex:person:희빈	관련	희빈은 홍경주의 딸로 조광조를 모함하는 말을 왕에게 아뢰었다
wd:Q334308	ex:person:성녕대군 부인 성씨	관련	계유정난 뒤 안평대군의 가족과 함께 폐출시켰다
ex:person:조영손	wd:Q16261930	관련	조영손은 이세좌의 사위다
wd:Q16167729	ex:person:채씨	관련	채씨는 채수의 딸로 김감에게 출가하였다
wd:Q16176142	ex:person:박순원	관련	허성의 이복 누나가 박순원에게 출가하였다
wd:Q16176142	ex:person:의창군	관련	의창군은 허성의 사위다
wd:Q624491	ex:person:홍영숙	관련	홍영숙은 홍명희의 딸로 김일성과 결혼하였다
#
# --- 삭제: 사람이 아닌 것을 사람으로 세운 줄 ------------------------------
wd:Q704854	ex:person:정여립의 처자	삭제	'처자'는 아내와 자식을 함께 이르는 말인데 추출이 사람 하나로 세웠다
wd:Q484453	ex:person:비빈	삭제	'비빈'은 왕의 여러 후궁을 함께 이르는 말인데 추출이 사람 하나로 세웠다
