# 그래프에 없는 만든 사람 — `uv run histgraph creators --apply` 가 먼저 세운다
# (`creators` 모듈 머리글 '그래프에 없는 만든 사람').
#
#     인물 id<TAB>이름<TAB>한자<TAB>활동 연대<TAB>신분<TAB>설명<TAB>근거[<TAB>별칭]
#
# 2026-09-23 전수 조사: 만든 사람 엣지가 없던 유물 2,719건 중 설명에 만든 이를
# 적은 것을 읽었다. 화승·조각승·주종장·각수는 거의 다 위키데이터에 항목이 없다.
# 같은 이름은 연대가 이어질 때만 한 사람이다 (법해 1633 조각승 ≠ 1702 화승).
# 설명은 작품과 연대로 우리가 적은 것이다 — 원문을 옮기지 않는다.

kr:person:각경	각경	覺冏	1504	대목	16세기 전반에 활동한 대목. 〈순천 송광사 응진당〉을 만들었다.	국가유산청 설명: 대목(大木) 각경(覺冏) · 상운(尙雲) · 설청(雪靑) · 철선(哲宣) · 경희(敬熙) · 정밀(精密) · 시응(時應)이라 하였다
kr:person:각환	각환	覺還	1702	화승	18세기 전반에 활동한 화승. 〈통영 안정사 영산회 괘불도〉를 그렸다.	국가유산청 설명: 안정사 영산회괘불도는 1702년 광흠(廣欽)이 수화승을 맡아 홍특(弘特), 각환(覺還)과 함께 제작하였고
kr:person:강금강	강금강	姜金剛	1339	진성군	14세기 전반에 활동한 진성군. 〈금강반야바라밀경〉·〈화성 봉림사 목조아미타불좌상 복장전적 일괄〉을 발원하였다.	국가유산청 설명: 고려 충숙왕 복위 8년(1339)에 강금강의 시주로 찍어낸 것임을 알 수 있다
kr:person:강인부	강인부	-	14세기 후반	-	14세기 후반에 〈금강반야바라밀경〉·〈범망경 및 금강반야바라밀경〉·〈천노해 금강반야바라밀경〉을 발원하였다.	국가유산청 설명: 유향과 강인부가 우왕의 왕비에게 도움을 받아 책을 간행했음을 알 수 있다
kr:person:결언	결언	-	통일신라 말	승려	통일신라 말에 활동한 승려. 〈동해 삼화사 철조노사나불좌상〉을 발원하였다.	국가유산청 설명: 화엄종과 관련된 사찰에서 결언스님이 중심이 되어 지역민들의 시주로 노사나불을 조성하였음을 밝히고 있다.
kr:person:경	경	敬	-	승려	승려. 〈금동연가7년명여래입상〉을 발원하였다.	국가유산청 설명: 연가7년 기미년에 고려국 낙랑 동사의 주지 경(敬)과 그 제자승 연(演)을 비롯한 사도(師徒) 40명이 함께 현겁의 천불을 만들어 세상에 유포하기로 하였으니
kr:person:경순	경순	敬順	1701	거사	18세기 전반에 활동한 거사. 〈적천사 괘불탱 및 지주〉를 만들었다.	국가유산청 설명: 강희 40년(1701)에 거사 경순(敬順) 등이 참여하여 만들었음을 알려주는 명문이 있다
kr:person:경심	경심	敬心	1673	화승	17세기 후반에 활동한 화승. 〈천은사 괘불탱〉을 그렸다.	국가유산청 설명: 1673년(현종 14)에 경심(敬心), 지감(志鑑), 능성(能聖) 등 3인의 화승(畵僧)이 그린 1폭의 괘불
kr:person:경은	경은	敬訔	1621	각수	17세기 전반에 활동한 각수. 〈성관자재구수육자선정 목판〉을 만들었다.	국가유산청 설명: 불사를 시주한 김국남(金國男) 등 6명의 속인(俗人)과 판각을 담당한 각수 경은(敬訔) 등을 확인할 수 있다.
kr:person:경찬	경찬	竟粲	1688	화승	17세기 후반에 활동한 화승. 〈김천 고방사 아미타여래설법도〉를 그렸다.	국가유산청 설명: 민원(敏圓)을 수화승으로 죽총(竹䕺), 경찬(竟粲), 각림(覺林)이 동참하여 그렸다
kr:person:경천	경천	敬天	1643	-	17세기 전반에 〈진주 응석사 목조석가여래삼불좌상〉을 발원하였다.	국가유산청 설명: 경천(敬天), 극수(克修), 일휘(日輝) 등이 발원하여 법당, 승당, 요사 등을 짓고 1643년(조선 인조 21년)에 삼존을 모셨다고 한다
kr:person:계당	계당	戒堂	1580	승려 장인	16세기 후반에 활동한 승려 장인. 〈통영 안정사 동종〉을 만들었다.	국가유산청 설명: 銘文을 통해 동종의 제작 장인이 계당(戒堂), 진옥(眞玉), 문헌(文軒)임을 알 수 있으며
kr:person:계순	계순	戒淳	1709	화승	18세기 전반에 활동한 화승. 〈예천 용문사 팔상탱〉·〈예천 용문사 천불도〉를 그렸다.	국가유산청 설명: 각 폭 하단에 기입된 화기를 통해 1709년에 제작되었고, 화사는 도문(道文), 설잠(雪岑), 계순(戒淳), 해영(海英)임을 알 수 있다
kr:person:계오	계오	-	1683	화승	17세기 후반에 활동한 화승. 〈도림사 괘불탱〉을 그렸다.	국가유산청 설명: 조선 숙종 9년(1683)에 계오·삼안·신균 등의 세 화원 비구가 그린 이 그림은
kr:person:계찬	계찬	戒贊	1657	조각승	17세기 후반에 활동한 조각승. 〈순천 동화사 목조석가여래삼불좌상〉을 만들었다.	국가유산청 설명: 수조각승 계찬(戒贊)을 비롯해 인계(印戒), 영언(靈彦) 등 7명의 조각승들이 1657년(효종 8) 완성해
kr:person:계초	계초	戒楚	1701	조각승	18세기 전반에 활동한 조각승. 〈서울 흥천사 목조관음보살삼존상〉을 만들었다.	국가유산청 설명: 수조각승 법잠(法岑)을 비롯한 계초(戒楚), 진열(振悅), 성인(性印) 등의 제작자
kr:person:계특	계특	-	1624	승려	17세기 전반에 활동한 승려. 〈여수 흥국사 대웅전〉을 만들었다.	국가유산청 설명: 대웅전은 인조 2년(1624) 계특대사가 절을 고쳐 세울 때 다시 지은 건물로
kr:person:계호	계호	戒浩	1636	승려	17세기 전반에 활동한 승려. 〈부안 개암사 대웅전〉을 만들었다.	국가유산청 설명: 1636년(인조 14)에 계호대선사(戒浩大禪師)가 중건한 것이며	계호대선사
kr:person:고말종	고말종	高末終	15세기 후반	각수	15세기 후반에 활동한 각수. 〈묘법연화경 권3~4, 5~7〉·〈지장보살본원경〉을 만들었다.	국가유산청 설명: 장막동(張莫同), 최금동(崔今同), 고말종(高末終), 이영산(李永山) 등 일류 각수(刻手)들이 참여하여 판각이 정교하고
kr:person:고식기	고식기	高息機	1378	신사	14세기 후반에 활동한 신사. 〈금강반야경소론찬요조현록〉을 발원하였다.	국가유산청 설명: 신사(信士) 고식기(高息機)가 감동하여 이 책의 간행광포를 희망하여 간비(刊費)를 보시하였으므로
kr:person:공암	공암	空岩	1453	-	15세기 후반에 〈지장보살본원경〉의 글씨를 썼다.	국가유산청 설명: 단종 1년(1453)에 ... 글씨는 공암(空岩)이 쓰고 대선사 의명(義明)이 목판에 새겼다
kr:person:광원	광원	廣圓	1603	조각승	17세기 전반에 활동한 조각승. 〈안성 청룡사 소조석가여래삼존상〉을 만들었다.	국가유산청 설명: 이 기록을 통해 1603년 8월 수조각승 광원(廣圓)에 의해 제작되었음이 밝혀졌다
kr:person:광현	광현	廣玄	1670	화원	17세기 후반에 활동한 화원. 전하는 말로는 〈울진 불영사 불연〉을 만들었다.	국가유산청 설명: (전칭) 1670년(현존 11) 화원(畵員)으로 추정되는 광현(廣玄), 성열(性悅), 덕진(德眞) 등이 참여해 조성한 2기의 불교의례용 가마로서
kr:person:광흠	광흠	廣欽	1702	화승	18세기 전반에 활동한 화승. 〈통영 안정사 영산회 괘불도〉를 그렸다.	국가유산청 설명: 안정사 영산회괘불도는 1702년 광흠(廣欽)이 수화승을 맡아 홍특(弘特), 각환(覺還)과 함께 제작하였고
kr:person:굉지	굉지	宏之	1315	대선사	14세기 전반에 활동한 대선사. 〈천태사교의〉를 발원하였다.	국가유산청 설명: 굉지대선사(宏之大禪師)가 수여(水如)에게 다시 쓰도록 하여 충숙왕 2년(1315)에 기복도감(祈福都監)에서 간행한 것이다
kr:person:구암	구암	龜庵	-	승려	승려. 〈선문삼가염송집 권1〉을 엮었다.	국가유산청 설명: 고려의 승려 구암(龜庵)이 엮었으며
kr:person:권경	권경	權璥	1634	군수	17세기 전반에 활동한 군수. 〈제천 청풍 한벽루〉를 만들었다.	국가유산청 설명: ‘숭정갑술군수권경개창(崇禎甲戌郡守權璥改刱)’이라고 하여 1634년(인조 12)에 권경이 다시 건립하였다고 한다.
kr:person:권돈일	권돈일	-	1469~1470	각수	15세기 후반에 활동한 각수. 〈지장보살본원경〉·〈묘법연화경 권1~2〉를 만들었다.	국가유산청 설명: 목판에 새기는 일에는 권돈일, 사부귀, 고말종 등이 참여했다.
kr:person:권오상	권오상	-	15세기 말	-	15세기 말에 〈예천권씨 초간종택 별당〉을 만들었다.	국가유산청 설명: 예천권씨 초간종택 별당은 초간종택의 사랑채를 지칭하는 것으로 15세기 말에 초간 권문해의 할아버지인 권오상이 지은 것이다
kr:person:권지	권지	-	1470	청주목사	15세기 후반에 활동한 청주목사. 〈우주두율〉을 만들었다.	국가유산청 설명: 성종 1년(1470)에 당시 청주목사 권지가 청주목에서 간행한 것이다
kr:person:극수	극수	克修	1643	-	17세기 전반에 〈진주 응석사 목조석가여래삼불좌상〉을 발원하였다.	국가유산청 설명: 경천(敬天), 극수(克修), 일휘(日輝) 등이 발원하여 법당, 승당, 요사 등을 짓고 1643년(조선 인조 21년)에 삼존을 모셨다고 한다
kr:person:금문	금문	金文	1662	조각승	17세기 후반에 활동한 조각승. 〈순천 송광사 목조관음보살좌상 및 복장유물〉을 만들었다.	국가유산청 설명: 17세기 중엽을 대표하는 조각승 혜희(慧熙)와 금문(金文)이 조각하여 조성한 관음보살상임을 알 수 있다
kr:person:김광훈_(조선)	김광훈 (조선)	金光薰	-	-	〈아국여지도〉를 만들었다.	국가유산청 설명: 김광훈, 신광욱이 두만강 어귀의 연해주 일대에 대한 정형을 16년간 정탐하여 제작하였으며
kr:person:김다경	김다경	金多慶	1523	호장	16세기 전반에 활동한 호장. 〈경주부사선생안〉을 엮었다.	국가유산청 설명: 1523년(중종 18년) 경주부(慶州府)의 호장 김다경(金多慶)이 ... ‘경주사 수호장 행안(慶州司首戶長行案)’을 바탕으로 편찬한 구안(舊案)
kr:person:김령_(1577년)	김령 (1577년)	金坽	-	유학자	유학자. 〈수운잡방〉을 지었다.	국가유산청 설명: 경북 안동의 유학자 김유(金綏, 1491∼1555)와 그의 손자 김령(金坽, 1577∼1641)이 저술한 한문 필사본 음식조리서이다
kr:person:김명국_(화가)	김명국 (화가)	金明國	1654	화가	17세기 후반에 활동한 화가. 전하는 말로는 〈이색 초상 - 누산영당본〉을 그렸다.	국가유산청 설명: (전칭) 1654년 허의와 김명국이 옮겨 그렸다고 전해지는
kr:person:김몽총	김몽총	金蒙寵	1468	주종장	15세기 후반에 활동한 주종장. 〈옛 보신각 동종〉을 만들었다.	국가유산청 설명: 감역(監役) 김덕생(金德生) 아래 주성장(鑄成匠) 정길산(鄭吉山), 김몽총(金蒙寵) 등 직분이 세분화되어 있었음을 알 수 있다.
kr:person:김석년	김석년	金石年	1563	장인	16세기 후반에 활동한 장인. 〈불랑기자포〉를 만들었다.	국가유산청 설명: 자포가 1563년에 제작되었으며, 중량이 75근 8냥이고 장인 김석년에 의해서 제작되었음을 알 수 있다
kr:person:김성원	김성원	金成元	1700	주종장	17세기 후반에 활동한 주종장. 〈순천 선암사 동종〉을 만들었다.	국가유산청 설명: 김상립(金尙立)의 아들 김수원(金守元), 도편수(都片手) 김성원(金成元), 부편수(副片手) 김효건(金孝建) … 이름이 나열되어 있어
kr:person:김수종	김수종	金遂宗	858	부관	9세기 후반에 활동한 부관. 〈장흥 보림사 철조비로자나불좌상〉을 발원하였다.	국가유산청 설명: 858년(헌안왕 2) 7월 17일에 당시 무주(武州)와 장사(長沙: 지금의 장흥)의 부관(副官)으로 있던 김수종(金遂宗)이 발원하여 이 불상을 주성하였다고 한다.
kr:person:김승렴	김승렴	金承廉	-	-	〈서산 보원사지 법인국사탑비〉를 만들었다.	국가유산청 설명: 김승렴(金承廉)의 각(刻)으로 세워졌다.
kr:person:김식_(17세기_전반)	김식 (17세기 전반)	金埴	1629	-	17세기 전반에 〈정몽주 초상〉을 그렸다.	국가유산청 설명: 이 초상화는 인조 7년(1629)에 김식이 비단 위에 새로 옮겨 그린 것으로
kr:person:김암_(야장)	김암 (야장)	金岩	1646	야장	17세기 전반에 활동한 야장. 〈영천 은해사 청동북 및 북걸이〉를 만들었다.	국가유산청 설명: 특히 야장(冶匠) 김암(金岩)이라는 이름이 보이고
kr:person:김애립	김애립	金愛立	1665	주종장	17세기 후반에 활동한 주종장. 〈여수 흥국사 동종〉을 만들었다.	국가유산청 설명: 김애립(金愛立)이 순천 동리산의 대흥사 종으로 1665년에 주성한 종이다
kr:person:김언경	김언경	金彦卿	884	-	9세기 후반에 〈장흥 보림사 보조선사탑비〉의 글씨를 썼다.	국가유산청 설명: ‘사(師)’자 이하는 행서(行書)로 김언경이 썼다
kr:person:김영_(문신)	김영 (문신)	金穎	9세기 후반	문신	9세기 후반에 활동한 문신. 〈제천 월광사지 원랑선사탑비〉·〈장흥 보림사 보조선사탑비〉를 지었다.	국가유산청 설명: 비문은 문신인 김영(金穎)이 짓고 글씨는 승려 서예가 순몽(淳蒙)이 썼는데
kr:person:김예몽	김예몽	金禮蒙	1445	집현전 부교리	15세기 전반에 활동한 집현전 부교리. 〈의방유취〉를 엮었다.	국가유산청 설명: 집현전 부교리 김예몽(金禮蒙)·저작랑(著作郞) 유성원(柳誠源)·사직(司直) 민보화(閔普和) 등에게 명하여 ... 한 책을 만들게 했다
kr:person:김예발	김예발	金禮發	1665	주종장	17세기 후반에 활동한 주종장. 〈여수 흥국사 동종〉을 만들었다.	국가유산청 설명: 이 종을 제작한 주장질(鑄匠秩) ‘김애립(金愛立), 김예발(金禮發), 최봉립(崔奉立)’의 3인
kr:person:김예종	김예종	金芮宗	962	호족	10세기 후반에 활동한 호족. 〈청주 용두사지 철당간〉을 발원하였다.	국가유산청 설명: 청주 지역의 호가(豪家)인 김예종(金芮宗)이 사촌형 희일(希一) 등과 함께 철당간을 주조하여 사찰을 꾸몄다고 한다.
kr:person:김용_(1557년)	김용 (1557년)	金涌	-	관료	관료. 〈김용 호종일기〉를 지었다.	국가유산청 설명: 조선조 관료인 김용(1557∼1620)이 임진왜란 때에 선조가 의주로 피난 중 임금을 호종하였을때 직접 쓴 일기이다
kr:person:김용_(고려)	김용 (고려)	金用	1387	-	14세기 후반에 〈사천 흥사리 매향비〉를 만들었다.	국가유산청 설명: 비문은 승려 달공이 짓고, 수안이 썼으며, 김용이 새긴 것으로, 고려 우왕 13년(1387)에 세워졌다
kr:person:김용암	김용암	金龍岩	1644~1657	주종장	17세기에 활동한 주종장. 〈담양 용흥사 동종〉·〈순천 선암사 동종〉을 만들었다.	국가유산청 설명: 이 종은 김용암(金龍岩)이 주가 되어 1644년에 주성한 종으로
kr:person:김원_(문신)	김원 (문신)	金薳	884~886	문신	9세기 후반에 활동한 문신. 〈장흥 보림사 보조선사탑비〉의 글씨를 썼고, 〈양양 선림원지 홍각선사탑비〉를 지었다.	국가유산청 설명: 비문은 숭문관직학사 겸 병부낭중 김원(金薳)이 짓고
kr:person:김원학	김원학	-	1711	주종장	18세기 전반에 활동한 주종장. 〈구례 화엄사 동종〉을 만들었다.	국가유산청 설명: 주종장(鑄鍾匠) 윤종백이 김원학, 한천석 등과 함께 1711년(숙종 37) 제작하였음을 명확히 알 수 있는 동종이다
kr:person:김유_(유학자)	김유 (유학자)	金綏	-	유학자	유학자. 〈수운잡방〉을 지었다.	국가유산청 설명: 경북 안동의 유학자 김유(金綏, 1491∼1555)와 그의 손자 김령(金坽, 1577∼1641)이 저술한 한문 필사본 음식조리서이다
kr:person:김융범	김융범	-	1055	-	11세기 후반에 〈감지금니 대반야바라밀다경 권175〉를 발원하였다.	국가유산청 설명: 고려 문종 9년(1055)에 김융범이 조·부모의 명복과 가족의 안녕을 위해 만들었는데
kr:person:김의인	김의인	金義仁	1235~1236	대정	13세기 전반에 활동한 대정. 〈고려 오백나한도〉·〈고려 십육나한도(제7 가리가존자)〉를 발원하였다.	국가유산청 설명: 제작의 주관자는 대정(隊正) 김의인(金義仁)으로 확인된다
kr:person:김이영_(가선대부)	김이영 (가선대부)	金履永	-	가선대부	가선대부. 〈신경행 청난공신교서 및 관련 문적〉을 지었다.	국가유산청 설명: 조은신공시장은 신경행이 시호를 받기 위하여 그가 살았을 때의 한 일을 가선대부 김이영(金履永, 1755∼1845)이 지은 글이다.
kr:person:김자산	김자산	金慈山	1583	주종장	16세기 후반에 활동한 주종장. 〈안동 광흥사 동종〉을 만들었다.	국가유산청 설명: 종의 제작자로 기록된 주장(鑄匠) 김자산(金慈山) 그리고 화원(畵圓) 원오비구(元悟比丘)
kr:person:김저_(14세기_후반)	김저 (14세기 후반)	金貯	1357	-	14세기 후반에 〈금강반야바라밀경〉을 발원하였다.	국가유산청 설명: 공민왕 6년(1357)에 전주에 살던 김저(金貯)가 덕운사의 지선(志禪)과 조환(祖桓)에게 부탁하여 간행한 것인데
kr:person:김정언	김정언	金廷彦	-	문장가	문장가. 〈여주 고달사지 원종대사탑비〉·〈서산 보원사지 법인국사탑비〉를 지었다.	국가유산청 설명: 탑비는 광종이 당대 최고의 문장가 김정언(金廷彦)에게 비문을 짓도록 했으며
kr:person:김종지	김종지	金従知	1446	성균진사	15세기 전반에 활동한 성균진사. 〈복재선생집〉을 엮었다.	국가유산청 설명: 각수를 맡은 기관(記官) 이근(李根), 교정을 맡은 성균진사(成均進士) 출신의 김종지(金従知) 등을 확인할 수 있어
kr:person:김종한_(19세기_전반)	김종한 (19세기 전반)	-	1820	-	19세기 전반에 〈포항 분옥정〉을 만들었다.	국가유산청 설명: 유학자인 김계영을 기리기 위하여 1820년(순조 20)에 후손 김종한이 지은 정자로
kr:person:김지_(경상병사)	김지 (경상병사)	金墀	1579	경상병사	16세기 후반에 활동한 경상병사. 〈승자총통〉을 만들었다.	국가유산청 설명: 명문에 의하면 선조 12년(1579)에 전라좌수사와 경상병사 김지가 만들었다
kr:person:김진여	김진여	金振汝	1708~1719	화원	18세기 전반에 활동한 화원. 〈기사계첩〉·〈곤여만국전도〉를 그렸다.	국가유산청 설명: 계첩에 수록된 그림과 기로신들의 초상화는 당대 뛰어난 기량을 인정받았던 도화서 화원 김진여(金振汝), 장태흥(張泰興) 등이 그린 것으로
kr:person:김청_(14세기_후반)	김청 (14세기 후반)	-	1357	-	14세기 후반에 〈상지금니 대방광원각수다라요의경〉을 발원하였다.	국가유산청 설명: 고려 공민왕 6년(1357)에 최적과 김청 등이 계항(戒桁)의 명복을 빌기 위해 펴낸 것이다
kr:person:김치	김치	金致	14세기	-	14세기에 〈구례 천은사 금동불감〉을 만들었다.	국가유산청 설명: 이 기록에 의하면 불상은 신승, 불감은 김치·박어산 등이 만들었고
kr:person:김태서_(18세기_전반)	김태서 (18세기 전반)	-	1742	-	18세기 전반에 〈보은 법주사 신법 천문도 병풍〉을 만들었다.	국가유산청 설명: 쾨글러(I.Koegler)가 작성한 … 별자리표를 김태서와 안국빈이 직접 배워서 그려온 별자리그림을 가지고 만든 것이다.
kr:person:김현_(고려)	김현 (고려)	金顯	-	-	〈안성 칠장사 혜소국사비〉를 지었다.	국가유산청 설명: 김현(金顯)이 짓고 민상제(閔賞濟)가 쓰고 전액도 하였으며 각자는 배가성(裵可成)·이맹(李孟) 등이 하였다
kr:person:김현무	김현무	金玄武	-	-	〈권응수장군 유물〉의 글씨를 썼다.	국가유산청 설명: 교지는 정립(鄭笠)이 짓고 김현무(金玄武)가 썼다
kr:person:김현성_(명필)	김현성 (명필)	金玄成	1614	명필	17세기 전반에 활동한 명필. 〈김현성 필적〉의 글씨를 썼다.	국가유산청 설명: 명필이던 남창(南窓) 김현성(金玄成, 1542~1621)이 1614년에 북애(北崖) 이증(李增, 1525~1600)의 절구와 율시 9편을 행서로 필사한 것이다
kr:person:김호_(14세기_후반)	김호 (14세기 후반)	-	1372	-	14세기 후반에 〈대불정여래밀인수증요의제보살만행수능엄경 권6~10〉을 발원하였다.	국가유산청 설명: 고려 공민왕 21년(1372)에 경기도 안성의 청룡사에서 간행했으며, 김호와 영암군부인 최씨가 시주를 하였다
kr:person:김희선_(14세기_후반)	김희선 (14세기 후반)	金希善	1399	-	14세기 후반에 〈향약제생집성방 권6〉을 만들었고, 〈향약제생집성방 권4~5〉를 엮었다.	국가유산청 설명: 이듬해 김희선이 강원감영에서 간행한 의학과 약학에 관한 서적이다
kr:person:김희성	김희성	金喜誠	조선 후기	화원	조선 후기에 활동한 화원. 전하는 말로는 〈전주지도〉를 그렸다.	국가유산청 설명: (전칭) 18세기의 화원(畵員)이자 겸재(謙齋) 정선(鄭敾)의 제자로 알려진 불염재(不染齋) 김희성(金喜誠)이 그린 것으로 추정되기도 한다
kr:person:김희인	김희인	-	1235	-	13세기 전반에 〈고려 오백나한도〉를 발원하였다.	국가유산청 설명: 하단 중앙의 화기에는 제작 배경, 제작 연대(1235년), 발원자(김희인), 시주자(이혁첨) 등을 구체적으로 기록하고 있어
kr:person:나운	나운	蘿雲	1586	화원	16세기 후반에 활동한 화원. 〈문경 봉암사 목조아미타여래좌상 및 복장유물〉을 만들었다.	국가유산청 설명: 1586년(선조 19)에 나운(蘿雲)과 법정(法正), 두 화원에 의해 조성된 불상임을 알 수 있어
kr:person:나흠	나흠	懶欽	1647	조각승	17세기 전반에 활동한 조각승. 〈대구 보성선원 목조석가여래삼존좌상 및 복장유물〉을 만들었다.	국가유산청 설명: 화원은 우두머리 조각승인 현욱을 비롯한 나흠(懶欽), 현감(玄鑑)이 참여하였다
kr:person:남궁예	남궁예	-	-	-	〈묘법연화경찬술 권1~2〉의 글씨를 썼다.	국가유산청 설명: 고려 헌종 1년(1095)에 남궁예가 글을 써서 처음 간행한 것을, 조선 세조 때 간경도감에서 다시 새겨 찍은 것
kr:person:남영신_(14세기_전반)	남영신 (14세기 전반)	-	1339	-	14세기 전반에 〈삼십분공덕소경〉의 글씨를 썼다.	국가유산청 설명: 조시우와 정공연 등이 시주하여, 남영신이 글을 쓰고, 혜일(慧一)이 새겨서 간행하였음
kr:person:낭일	낭일	朗日	1714	대선사	18세기 전반에 활동한 대선사. 〈양산 통도사 영산전〉을 발원하였다.	국가유산청 설명: 1714년 任間淸印, 松谷正眼, 楓岩朗日, 禪岩致源등 4인의 대선사가 모연(募捐)하고 33명의 목수와 ... 15명의 화승이 참여하여 중건하였음을
kr:person:노영	노영	魯英	1307	작가	14세기 전반에 활동한 작가. 〈노영 필 아미타여래구존도 및 고려 태조 담무갈보살 예배도〉를 그렸다.	국가유산청 설명: 1307년 작가 노영(魯英)이 흑칠한 나무바탕 위에 금니로 그린 금선묘(金線描) 불화이다
kr:person:노예성	노예성	盧禮成	1662	궁중나인	17세기 후반에 활동한 궁중나인. 〈순천 송광사 목조관음보살좌상 및 복장유물〉을 발원하였다.	국가유산청 설명: 1662년 궁중나인(宮中內人) 노예성(盧禮成)이 경안군(慶安君) 내외의 수명장원(壽命長遠)을 위해 발원하고
kr:person:노중례	노중례	盧重禮	1434	의학자	15세기 전반에 활동한 의학자. 〈태산요록〉을 엮었다.	국가유산청 설명: 조선 세종 때의 의학자인 노중례가 세종 16년(1434)에 왕의 명을 따라 편찬한 것으로
kr:person:녹원	녹원	鹿元	1655~1659	조각승	17세기 후반에 활동한 조각승. 〈기장 장안사 석조석가여래삼불좌상〉·〈창원 성주사 목조석가여래삼불좌상〉을 만들었다.	국가유산청 설명: 발원문과 중수문을 통해 1659년에 조각승 녹원(鹿元)이 이 삼불좌상을 제작하였고
kr:person:뇌현	뇌현	雷現	1742	화승	18세기 전반에 활동한 화승. 〈포항 보경사 비로자나불도〉를 그렸다.	국가유산청 설명: 1742년(영조 18) 뇌현(雷現), 밀기(密機), 석잠(碩岑) 등 조선 후기 경북지역에서 활동한 세 명의 불화승이 왕실의 안녕을 기원하며 그린 작품이다
kr:person:능성	능성	能聖	1673	화승	17세기 후반에 활동한 화승. 〈천은사 괘불탱〉을 그렸다.	국가유산청 설명: 1673년(현종 14)에 경심(敬心), 지감(志鑑), 능성(能聖) 등 3인의 화승(畵僧)이 그린 1폭의 괘불
